company_name,nse,exchange
HDB Financial Services Limited,HDBFS,NSE
HDFC Asset Management Company Limited,HDFCAMC,NSE
HDFC Bank Limited,HDFCBANK,NSE
HDFC Life Insurance Company Limited,HDFCLIFE,NSE
Healthcare Global Enterprises Limited,HCG,NSE
HEG Limited,HEG,NSE
HeidelbergCement India Limited,HEIDELBERG,NSE
Heidleberg Cement India Ltd.,HEIDELBERG,NSE
Heritage Foods Limited,HERITGFOOD,NSE
Hero MotoCorp Limited,HEROMOTOCO,NSE
Hexagon Nutrition Limited,HEXAGON,NSE
Hexaware Technologies Limited,HEXT,NSE
HFCL Limited,HFCL,NSE
Hi-Tech Pipes Limited,HITECH,NSE
HIKAL LTD,HIKAL,NSE
Himadri Speciality Chemical Limited,HSCL,NSE
Hindalco Industries Limited,HINDALCO,NSE
Hindustan Aeronautics Limited,HAL,NSE
Hindustan Copper Limited,HINDCOPPER,NSE
Hindustan Petroleum Corp. Ltd.,HINDPETRO,NSE
Hindustan Petroleum Corporation Limited,HINDPETRO,NSE
Hindustan Unilever Limited,HINDUNILVR,NSE
Hindustan Zinc Limited,HINDZINC,NSE
Hitachi Energy India Limited,POWERINDIA,NSE
HLE Glascoat Limited,HLEGLAS,NSE
Home First Finance Company India Limited,HOMEFIRST,NSE
Honasa Consumer Limited,HONASA,NSE
Honda India Power Products Limited,HONDAPOWER,NSE
Honeywell Automation India Limited,HONAUT,NSE
Horizon Reclaim (India) Limited,HORIZON,BSE
Housing & Urban Development Corporation Limited,HUDCO,NSE
Hyundai Motor India Ltd.,HYUNDAI,NSE
ICICI Bank Limited,ICICIBANK,NSE
ICICI Lombard General Insurance Company Limited,ICICIGI,NSE
ICICI Prudential AMC Ltd,ICICIAMC,NSE
ICICI Prudential Asset Management Company Limited,ICICIAMC,NSE
ICICI Prudential Life Insurance Company Limited,ICICIPRULI,NSE
ICRA Limited,ICRA,NSE
IDEAFORGE TECHNOLOGY LIMITED,IDEAFORGE,NSE
IDFC First Bank Limited,IDFCFIRSTB,NSE
IFB Industries Limited,IFBIND,NSE
Ifgl Refractories Limited (Erst Ifgl Exports Limited),IFGLEXPOR,NSE
IIFL Capital Services Ltd.,IIFLCAPS,NSE
IIFL Finance Limited,IIFL,NSE
Indegene Ltd.,INDGN,NSE
India Shelter Finance Corporation Limited,INDIASHLTR,NSE
Indiamart Intermesh Ltd.,INDIAMART,NSE
INDIAN BANK,INDIANB,NSE
Indian Energy Exchange Limited,IEX,NSE
Indian Oil Corporation Limited,IOC,NSE
Indian Railway Catering and Tourism Corporation Ltd.,IRCTC,NSE
